0:0:0:0:0:0:0:1 - - [22/Nov/2018:17:45:00 +0900] "GET /BBS/images/footer/instagram.png HTTP/1.1" 404 1117
0:0:0:0:0:0:0:1 - - [22/Nov/2018:17:45:00 +0900] "GET /BBS/images/logo/top25.png HTTP/1.1" 404 1111
0:0:0:0:0:0:0:1 - - [22/Nov/2018:17:45:00 +0900] "GET /BBS/images/footer/google.png HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [22/Nov/2018:17:45:00 +0900] "GET /BBS/images/logo/3.png HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [22/Nov/2018:17:45:00 +0900] "GET /BBS/images/logo/4.png HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [22/Nov/2018:17:45:00 +0900] "GET /BBS/images/banner_food/%EC%9D%8C%EC%8B%9D5.jpg HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [22/Nov/2018:17:45:00 +0900] "GET /BBS/images/footer/tumblr.png HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [22/Nov/2018:17:45:00 +0900] "GET /BBS/images/footer/twitter.png HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [22/Nov/2018:17:47:08 +0900] "GET /BBS/view.jsp HTTP/1.1" 500 89
0:0:0:0:0:0:0:1 - - [22/Nov/2018:17:47:18 +0900] "GET /BBS/view.jsp HTTP/1.1" 500 89
0:0:0:0:0:0:0:1 - - [22/Nov/2018:17:47:33 +0900] "GET /BBS/view.jsp?bbsID=23 HTTP/1.1" 200 3035
0:0:0:0:0:0:0:1 - - [22/Nov/2018:17:59:29 +0900] "GET /BBS/view.jsp?bbsID=23 HTTP/1.1" 200 2862
0:0:0:0:0:0:0:1 - - [22/Nov/2018:17:59:29 +0900] "GET /BBS/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2018:17:59:41 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4464
0:0:0:0:0:0:0:1 - - [22/Nov/2018:17:59:41 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
